gene_code,T_cac14,T_cac5,T_cac10,T_cac13,T_cac16,T_cac4,T_cac9,T_cac8,T_cac3,T_cac6,T_cac2,T_cac7,T_cac11,T_cac12,T_cac1
ENSG00000154957,221.0004229,136,333.00049,297.00036,344.9999673,344,215.0002001,357.999871,287.00039,210.99979,225.999652,308.0004629,302.9993942,212.00026,434.9998
ENSG00000029559,315,41,67,0,134,140,63,36,40,25,10,31,2,0,200
ENSG00000132964,1758.93,223.5022,1247.409,606.527,853.421,748.346,901.726,1277.421,1420.623,950.534,1040.723,527.605,430.001,635.399,1389.463
ENSG00000004139,103.2435,74.0329,76.31674,85.9368,146.8096,102.341553,176.0799,45.45382,79.31933,70.91094,61.45614,80.14954,54.802,146.9863,46.98528
ENSG00000233493,18,69,28,17,52,58,38,13,39,21,36,34,26,44,35
ENSG00000180773,217.38329,36.85913,342.7506,236.12083,143.97591,147.94796,122.84831,179.52699,154.2063,40.54838,426.5383,336.6523,122.38165,144.3994,217.94458
ENSG00000173588,591.5339,104.766,846.5854,741.2347,700.88143,489.70458,580.0117,772.74787,564.31615,291.814,890.2909,647.34503,351.18042,645.6745,906.7007
ENSG00000163959,55.202,10.43213,12.42396,16.1043,73.78232,120.09328,13.15215,96.29611,43.65643,32.23487,16.12878,13.02146,6.5308,37.77104,24.33114
ENSG00000125731,605.2805,363.84117,274.1961,273.732,554.6347,407.9075,439.2762,142.3712,215.03611,210.5466,240.0857,230.5912,176.0289,304.8518,202.6559
ENSG00000137948,0,1,3,1.19703,0,0,1,0,1,0,4,2,0,0,2
ENSG00000181472,543,124,498,317,544,480,434,436,519,344,469,343,350,469,629
ENSG00000126803,277.0408,737.8565,269.2632,44,306.9996,281,579,326.9996,175.37,124.4562,391.534,179.9996,183.0004,289.0285,364.2996
ENSG00000151806,1396.23,187.974,1093.32,958.57,1234.16,545.025,1335.49,850.072,963.989,447.14,1363.8,1026.19,690.68,796.152,974.982
ENSG00000080854,248.73071,88.785582,58.77514,242.83077,411.6571,398.1274,159.67048,203.29402,115.31871,141.3329,299.03822,162.34145,285.17205,249.59565,263.04722
ENSG00000181273,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0
ENSG00000053371,958.1729,487.49288,911.9684,609.2731,1990.6546,1092.5022,1217.6014,612.8142,984.9593,512.1775,954.6489,1392.9095,1054.80819,1365.7127,1100.06187
ENSG00000077044,2652.08655,778.918481,2043.35443,1069.9471,3305.30102,2200.1214,2005.3091,1431.84983,2579.0105,1355.35384,1324.65879,1377.0235,961.902,2154.502,1557.2066
ENSG00000164305,879.00066,257.9997,1335.00055,772.0002,1009.0002,599.9995,820.0008,1093.0003,746.00003,429.99993,950,1046.9994,716.9996,1015,1165.0003
ENSG00000163576,7,3,1,27.000035,7,3.999999739,29.9999824,21.99999046,26.61296,1.999998,50.99998,13.000003,4.999996,14.99996,8.7218891
ENSG00000125630,2073.5144,670.7833,2002.583,1217.1538,1703.8608,1241.5161,1858.79494,1546.8548,1686.6655,671.1473,1432.4531,1401.54484,934.8012,1527.0859,1332.89889
ENSG00000183196,22,3.08465,10.1408,3.03349,15.21596,8,7.18291,6.10542,4,4.08188,12.137,49.53396,43.6979,17,17.6469
ENSG00000138867,440.31335,221.81014,361.0083,213.52461,582.6741,429.349,276.89148,314.3893,468.0757,312.56807,216.60499,575.9567,543.8808,425.3907,419.30394
ENSG00000169894,589.6593,20.3826,796.152,354.811,1256.29,396.917,746.20082,248.833,974.901,572.74098,439.64503,1104.1812,461.928,1011.1,202.32992
ENSG00000197123,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000253506,0,0,0,0,0,2.00698,0,0,0,0,0,0,0,0,0
